type,layers,train epochs,creation time,classifying time,true positive,true negative,false positive,false negative,unknown positive,unknown negative,total,precision,recall,total correct
naive,,,2.837042,14.601279,524,2399,255,95,0,0,3273,0.672657252888318,0.846526655896607,0.893064466849985
neural,[],10,7.22641,4.642339,297,295,1017,14,2,12,1637,0.226027397260274,0.94888178913738,0.36163714111179
neural,[],20,9.226558,5.716200E-02,303,257,1055,9,1,12,1637,0.223122238586156,0.968051118210863,0.34208918753818
neural,[],30,11.194436,5.795300E-02,294,451,866,19,0,7,1637,0.253448275862069,0.939297124600639,0.455100794135614
neural,[],40,13.148341,5.276500E-02,285,664,644,28,0,16,1637,0.306781485468245,0.910543130990415,0.579718998167379
neural,[],50,15.107255,5.155900E-02,281,794,517,31,1,13,1637,0.352130325814536,0.89776357827476,0.65668906536347
neural,[],60,17.161954,6.174600E-02,274,925,395,39,0,4,1637,0.409566517189836,0.875399361022364,0.73243738546121
neural,[],70,19.202294,6.509500E-02,284,856,458,28,1,10,1637,0.382749326145553,0.907348242811502,0.696395846059866
neural,[],80,21.233505,5.322800E-02,271,983,332,42,0,9,1637,0.449419568822554,0.865814696485623,0.766035430665852
neural,[],90,23.240557,4.837300E-02,280,858,463,31,2,3,1637,0.376850605652759,0.894568690095847,0.695174098961515
neural,[],100,17.574371,4.381715,284,917,401,25,1,9,1637,0.414598540145985,0.916129032258065,0.73365913255956
neural,[],200,30.206769,7.549300E-02,275,1086,235,34,1,6,1637,0.53921568627451,0.887096774193548,0.831398900427611
neural,[],300,43.135262,6.304600E-02,274,1086,235,34,2,6,1637,0.538310412573674,0.883870967741936,0.830788026878436
neural,[],400,55.955794,5.008300E-02,274,1086,235,34,2,6,1637,0.538310412573674,0.883870967741936,0.830788026878436
neural,[],500,68.793361,4.901400E-02,274,1086,236,34,2,5,1637,0.537254901960784,0.883870967741936,0.830788026878436
neural,[],600,81.414521,5.37900E-02,274,1086,235,34,2,6,1637,0.538310412573674,0.883870967741936,0.830788026878436
neural,[],700,93.862347,5.435800E-02,274,1086,235,34,2,6,1637,0.538310412573674,0.883870967741936,0.830788026878436
neural,[],800,105.820547,4.75700E-02,274,1087,235,34,2,5,1637,0.538310412573674,0.883870967741936,0.831398900427611
neural,[],900,117.631442,5.137500E-02,274,1087,234,34,2,6,1637,0.539370078740158,0.883870967741936,0.831398900427611
neural,[],1000,115.498165,3.787275,214,1221,107,89,3,3,1637,0.666666666666667,0.699346405228758,0.876603543066585
neural,[],2000,230.421714,4.956700E-02,215,1221,107,89,2,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],3000,340.996189,5.530800E-02,215,1221,107,89,2,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],4000,451.727092,5.535100E-02,215,1221,107,89,2,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],5000,561.947929,4.673800E-02,215,1221,107,89,2,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],6000,674.558549,5.090300E-02,215,1221,107,88,3,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],7000,786.284634,5.149700E-02,215,1221,107,88,3,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],8000,900.401707,4.940500E-02,215,1221,107,88,3,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[],9000,"1,015.733832",5.281800E-02,215,1221,107,88,3,3,1637,0.667701863354037,0.702614379084967,0.87721441661576
neural,[10],10,42.960758,4.442776,307,59,1266,2,0,3,1637,0.195168467895741,0.993527508090615,0.223579718998167
neural,[10],20,76.542052,0.234571,293,0,1203,0,16,125,1637,0.195855614973262,0.948220064724919,0.178985949908369
neural,[10],30,109.419825,0.234823,307,186,1133,2,0,9,1637,0.213194444444444,0.993527508090615,0.301160659743433
neural,[10],40,140.861031,0.241547,304,114,1203,4,1,11,1637,0.201725282017253,0.983818770226537,0.255345143555284
neural,[10],50,172.849696,0.233484,303,135,1166,4,2,27,1637,0.206262763784888,0.980582524271845,0.26756261453879
neural,[10],60,204.674407,0.2265,303,388,937,6,0,3,1637,0.244354838709677,0.980582524271845,0.422113622480147
neural,[10],70,237.199573,0.236594,297,482,807,8,4,39,1637,0.269021739130435,0.961165048543689,0.475870494807575
neural,[10],80,270.18379,0.313373,309,41,1286,0,0,1,1637,0.193730407523511,1,0.213805742211362
neural,[10],90,302.851591,0.232993,302,269,1059,7,0,0,1637,0.221895664952241,0.977346278317152,0.348808796579108
neural,[10],100,252.85601,4.245851,292,397,892,12,2,42,1637,0.246621621621622,0.954248366013072,0.420891875381796
neural,[10],200,467.558749,0.22034,263,903,351,32,11,77,1637,0.428338762214984,0.859477124183007,0.712278558338424
neural,[10],300,680.342327,0.226891,268,997,321,38,0,13,1637,0.455008488964346,0.875816993464052,0.772755039706781
neural,[10],400,896.259441,0.236063,247,1105,223,59,0,3,1637,0.525531914893617,0.80718954248366,0.825901038485034
neural,[10],500,"1,109.744969",0.236573,270,936,390,36,0,5,1637,0.409090909090909,0.882352941176471,0.736713500305437
neural,[10],600,"1,324.104814",0.229886,228,1187,133,77,1,11,1637,0.631578947368421,0.745098039215686,0.864386072083079
neural,[10],700,"1,538.834932",0.212612,231,1138,157,66,9,36,1637,0.595360824742268,0.754901960784314,0.836285888821014
neural,[10],800,"1,752.039957",0.240074,238,1121,161,63,5,49,1637,0.596491228070175,0.777777777777778,0.830177153329261
neural,[10],900,"1,967.64205",0.228334,232,1183,131,70,4,17,1637,0.639118457300275,0.758169934640523,0.864386072083079
neural,[10],1000,"2,411.011341",4.166329,247,1125,173,55,8,29,1637,0.588095238095238,0.796774193548387,0.83811850946854
neural,[10],2000,"4,480.622312",0.238502,231,1191,120,73,6,16,1637,0.658119658119658,0.745161290322581,0.868662186927306
neural,[10],3000,"6,540.051729",0.222149,231,1205,114,78,1,8,1637,0.669565217391304,0.745161290322581,0.87721441661576
neural,[10],4000,"8,621.971102",0.248268,226,1213,106,79,5,8,1637,0.680722891566265,0.729032258064516,0.879047037263286
neural,[10],5000,"10,703.270585",0.236275,231,1219,102,78,1,6,1637,0.693693693693694,0.745161290322581,0.885766646304215
neural,[10],6000,"12,766.052184",0.246745,235,1221,101,75,0,5,1637,0.699404761904762,0.758064516129032,0.889431887599267
neural,[10],7000,"14,827.246783",0.238364,231,1208,109,75,4,10,1637,0.679411764705882,0.745161290322581,0.879047037263286
neural,[10],8000,"16,894.923422",0.246242,217,1218,93,84,9,16,1637,0.7,0.7,0.876603543066585
neural,[10],9000,"18,961.145939",0.228623,236,1201,111,68,6,15,1637,0.680115273775216,0.761290322580645,0.877825290164936
neural,[100],10,605.126753,16.50522,293,5,1339,0,0,0,1637,0.17953431372549,1,0.182040317654246
neural,[100],20,"1,134.581847",6.91033,293,7,1337,0,0,0,1637,0.179754601226994,1,0.183262064752596
neural,[100],30,"1,690.95394",5.443564,292,17,1325,1,0,2,1637,0.180581323438466,0.996587030716723,0.188759926695174
neural,[100],40,"2,268.561001",5.497305,293,14,1329,0,0,1,1637,0.180641183723798,1,0.187538179596823
neural,[100],50,"2,817.561099",5.708547,285,194,1146,8,0,4,1637,0.19916142557652,0.972696245733788,0.292608430054979
neural,[100],60,"3,353.074334",5.414114,293,25,1319,0,0,0,1637,0.181761786600496,1,0.194257788637752
neural,[100],70,"3,922.501691",5.371294,284,299,1041,9,0,4,1637,0.214339622641509,0.969283276450512,0.356139279169212
neural,[100],80,"4,558.133939",5.414451,280,247,1095,13,0,2,1637,0.203636363636364,0.955631399317406,0.321930360415394
neural,[100],90,"5,115.7184",5.896893,265,693,647,28,0,4,1637,0.290570175438596,0.904436860068259,0.585216860109957
neural,[100],100,"3,511.619806",14.977341,297,522,804,11,0,3,1637,0.269754768392371,0.964285714285714,0.500305436774588
neural,[100],200,"6,764.072801",6.42195,287,804,525,21,0,0,1637,0.353448275862069,0.931818181818182,0.666463042150275
neural,[100],300,"10,034.448216",5.67793,275,1065,262,33,0,2,1637,0.512104283054004,0.892857142857143,0.81857055589493
neural,[100],400,"13,336.552174",5.114345,287,839,483,21,0,7,1637,0.372727272727273,0.931818181818182,0.687843616371411
neural,[100],500,"16,727.768706",5.11696,254,1182,144,53,1,3,1637,0.638190954773869,0.824675324675325,0.87721441661576
neural,[100],600,"19,965.811784",6.738991,248,1205,122,58,2,2,1637,0.67027027027027,0.805194805194805,0.887599266951741
neural,[100],700,"23,252.102716",5.360839,281,954,366,26,1,9,1637,0.434312210200927,0.912337662337662,0.754428833231521
neural,[100],800,"26,583.048136",5.532547,255,1184,140,53,0,5,1637,0.645569620253165,0.827922077922078,0.879047037263286
neural,[100],900,"29,886.572206",6.815656,245,1202,127,62,1,0,1637,0.658602150537634,0.795454545454545,0.883934025656689
neural,[100],1000,"27,195.754112",18.189286,312,7,1315,3,0,0,1637,0.191763982790412,0.990476190476191,0.194868662186927
neural,[100],2000,"51,945.574125",8.102476,280,987,327,35,0,8,1637,0.461285008237232,0.888888888888889,0.773976786805131
neural,[100],3000,"77,066.390211",5.475594,301,457,820,13,1,45,1637,0.268510258697591,0.955555555555556,0.463042150274893
neural,[100],4000,"102,311.055827",5.712862,256,1129,190,59,0,3,1637,0.573991031390135,0.812698412698413,0.846059865607819
neural,[100],5000,"127,718.881805",6.467437,251,1163,155,63,1,4,1637,0.618226600985222,0.796825396825397,0.863775198533903
neural,"[100,50]",10,474.621685,15.253451,305,6,1323,0,0,3,1637,0.187346437346437,1,0.189981673793525
neural,"[100,50]",20,894.989418,4.380065,303,32,1298,2,0,2,1637,0.189256714553404,0.99344262295082,0.204642638973732
neural,"[100,50]",30,"1,358.746802",5.714814,304,18,1313,1,0,1,1637,0.188002473716759,0.99672131147541,0.196701282834453
neural,"[100,50]",40,"1,822.07581",4.318577,302,4,1328,3,0,0,1637,0.185276073619632,0.99016393442623,0.186927306047648
neural,"[100,50]",50,"2,293.006332",5.283152,304,9,1323,1,0,0,1637,0.186846957590658,0.99672131147541,0.191203420891875
neural,"[100,50]",60,"2,785.613788",4.275218,301,6,1326,4,0,0,1637,0.18500307314075,0.986885245901639,0.187538179596823
neural,"[100,50]",70,"3,271.509241",4.959575,303,56,1276,2,0,0,1637,0.191893603546548,0.99344262295082,0.21930360415394
neural,"[100,50]",80,"3,826.508702",3.942618,299,285,1039,6,0,8,1637,0.223467862481315,0.980327868852459,0.356750152718387
neural,"[100,50]",90,"4,273.905269",4.070434,296,438,891,8,1,3,1637,0.249368155012637,0.970491803278689,0.448381185094685
neural,"[100,50]",100,"3,037.793574",13.315786,292,270,1065,6,0,4,1637,0.21518054532056,0.979865771812081,0.34331093463653
neural,"[100,50]",200,"5,799.052842",3.674348,290,297,1042,8,0,0,1637,0.217717717717718,0.973154362416107,0.358582773365913
neural,"[100,50]",300,"8,560.52037",5.156809,289,6,1333,9,0,0,1637,0.178175092478422,0.969798657718121,0.18020769700672
neural,"[100,50]",400,"11,424.352701",4.988664,292,240,1099,6,0,0,1637,0.209920920201294,0.979865771812081,0.324984728161271
neural,"[100,50]",500,"14,294.6807",6.14511,285,476,863,13,0,0,1637,0.248257839721254,0.956375838926175,0.464874770922419
neural,"[100,50]",600,"17,158.738728",5.870472,282,562,777,16,0,0,1637,0.26628895184136,0.946308724832215,0.515577275503971
neural,"[100,50]",700,"20,006.743981",6.6109,275,734,605,23,0,0,1637,0.3125,0.922818791946309,0.616371411117899
neural,"[100,50]",800,"22,812.474425",7.252655,269,784,555,29,0,0,1637,0.326456310679612,0.902684563758389,0.643249847281613
neural,"[100,50]",900,"25,633.924685",6.013417,274,748,590,24,0,1,1637,0.31712962962963,0.919463087248322,0.624312767257178
neural,"[100,50]",1000,"27,755.867164",15.21762,283,1000,306,29,2,17,1637,0.480475382003396,0.901273885350318,0.783750763591937